,聲韻,,聲調,字元,字數,,,,,,
307,ʦɿ,,陰去35,"著, 煑, 拄, 駐, 註, 主, 注, 蛀, 鑄, 制, 製, 紫, 智, 紙, 姊, 致, 旨, 指, 至, 子, 梓, 置, 滓, 之, 止, 趾, 址, 志, 誌, 痣, 嘴, 籽, 仔, 仔, 咫, 摯, 幟, 炷, 恣, 芷, 渚, 疰, 緻",43,,,,,,
309,ʦu,,陰去35,"左, 佐, 祖, 組, 做, 阻, 詛, 俎",8,,,,,,
311,ʦa,,陰去35,"詐, 榨, 炸, 債, 爪, 笊, 咱",7,,,,,,
313,ʦo,,陰去35,"詐, 榨, 炸, 蔗, 赭, 吒, 鷓, 柘",8,,,,,,
315,ʦɔ,,陰去35,"早, 棗, 蚤, 澡, 躁, 竃, 罩, 爪, 找, 笊, 照, 詔, 藻",13,,,,,,
317,ʦɤ,,陰去35,"走, 奏, 肘, 皺, 縐, 帚, 咒",7,,,,,,
319,ʦe,,陰去35,"者, 宰, 載, 贅, 斬, 蘸, 贊, 湛, 㜺",9,,,,,,
321,ʦø,,陰去35,"最, 綴, 贅, 嘴, 醉, 佔, 展, 戰, 轉, 輾, 囀",11,,,,,,
323,ʦã,,陰去35,"長, 漲, 仗, 帳, 脹",5,,,,,,
325,ʦɑ̃,,陰去35,"葬, 掌, 壯, 障, 瘴, 蟑, 奘",7,,,,,,
327,ʦəŋ,,陰去35,"枕, 鎮, 診, 疹, 振, 震, 準, 准, 拯, 證, 症, 正, 整, 政, 怎, 幀, 圳, 賑, 黰",19,,,,,,
329,ʦoŋ,,陰去35,"總, 綜, 中, 眾, 縱, 冢, 種, 腫, 蹱",9,,,,,,
334,ʦʰɿ,,陰去35,"褚, 處, 鼠, 刺, 侈, 翅, 次, 恥, 廁, 齒, 眦",11,,,,,,
336,ʦʰu,,陰去35,"銼, 醋, 措, 錯, 楚, 礎, 挫",7,,,,,,
338,ʦʰa,,陰去35,"茬, 岔, 扯, 蔡, 綽, 汊",6,,,,,,
340,ʦʰo,,陰去35,"岔, 汊",2,,,,,,
342,ʦʰɔ,,陰去35,"草, 騲, 躁, 糙, 鈔, 炒, 吵, 耖",8,,,,,,
344,ʦʰɤ,,陰去35,"湊, 丑, 醜, 臭, 腠",5,,,,,,
346,ʦʰe,,陰去35,"彩, 採, 睬, 菜, 燦, 鏟, 產, 璨, 懺, 粲, 啐",11,,,,,,
348,ʦʰø,,陰去35,"脆, 翠, 粹, 慘, 顫, 纂, 篡, 喘, 串, 闡, 萃, 瘁, 釧, 淬, 焠",15,,,,,,
350,ʦʰã,,陰去35,"廠, 暢, 撐, 牚, 敞, 倀, 悵, 氅",8,,,,,,
352,ʦʰɑ̃,,陰去35,"闖, 創, 唱, 倡, 愴",5,,,,,,
354,ʦʰəŋ,,陰去35,"趁, 襯, 忖, 寸, 蠢, 稱, 秤, 逞, 騁, 磣",10,,,,,,
356,ʦʰoŋ,,陰去35,"銃, 寵, 鍯",3,,,,,,
361,sɿ,,陰去35,"暑, 黍, 庶, 恕, 戍, 世, 勢, 賜, 豕, 死, 四, 肆, 矢, 屎, 使, 史, 駛, 始, 試, 水, 泗, 駟",22,,,,,,
363,su,,陰去35,"鎖, 瑣, 素, 訴, 塑, 嗉, 所, 數, 戍, 漱, 嗩",11,,,,,,
365,sa,,陰去35,"灑, 傻, 耍, 曬, 撒, 啥, 閯",7,,,,,,
367,so,,陰去35,"捨, 赦, 舍, 曬",4,,,,,,
369,sɔ,,陰去35,"掃, 嫂, 潲, 少, 燥",5,,,,,,
371,sɤ,,陰去35,"叟, 嗽, 瘦, 手, 首, 守, 獸, 狩, 擻",9,,,,,,
373,se,,陰去35,"舍, 賽, 碎, 帥, 散, 傘, 塞, 饊",8,,,,,,
375,sø,,陰去35,"歲, 稅, 銳, 綏, 水, 陝, 閃, 搧, 扇, 算, 蒜, 率, 糝, 祟, 邃",15,,,,,,
377,sã,,陰去35,省,1,,,,,,
379,sɑ̃,,陰去35,"喪, 磉, 嗓, 搡, 爽, 賞",6,,,,,,
381,səŋ,,陰去35,"沈, 審, 嬸, 滲, 損, 遜, 筍, 榫, 舜, 勝, 聖, 瞬",12,,,,,,
383,soŋ,,陰去35,"送, 宋, 慫, 誦, 頌, 訟, 聳, 悚, 竦",9,,,,,,
405,ʨi,,陰去35,"左, 姐, 祭, 際, 擠, 濟, 劑, 計, 繼, 繫, 寄, 冀, 己, 紀, 記, 幾, 旣, 季, 鑑, 檢, 劍, 間, 簡, 柬, 揀, 諫, 澗, 鐧, 剪, 箭, 濺, 建, 薦, 繭, 見, 毽, 蟣, 悸, 緘, 暨, 驥, 麂, 瞼, 霽, 蹇, 謇, 傺",47,,,,,,
407,ʨy,,陰去35,"舉, 據, 鋸, 矩, 句, 鬼, 貴, 苣, 踞, 倨, 櫸",11,,,,,,
409,ʨia,,陰去35,"假, 賈, 架, 駕, 嫁, 稼, 價, 姐, 借, 介, 界, 屆, 戒, 解, 枷, 誡",16,,,,,,
411,ʨiɔ,,陰去35,"教, 絞, 狡, 鉸, 攪, 校, 校, 較, 窖, 覺, 醮, 矯, 繳, 僥, 叫, 餃, 跤, 姣, 佼, 皎",20,,,,,,
413,ʨiɤ,,陰去35,"酒, 九, 久, 韭, 灸, 救, 玖, 疚, 廄, 㾭",10,,,,,,
415,ʨie,,陰去35,鑑,1,,,,,,
417,ʨyø,,陰去35,"捲, 卷, 絹",3,,,,,,
419,ʨiã,,陰去35,"將, 蔣, 獎, 槳, 醬, 講, 降, 絳",8,,,,,,
